*X,dH_J_mol,dS_J_mol_K
0.0038700,-69854.67,88.50000
0.0048192,-64185.10,87.95244
0.0057684,-61023.55,87.40488
0.0067176,-57490.97,86.85732
0.0076668,-51970.60,86.30976
0.0086160,-48145.27,85.76220
0.0095652,-46329.52,85.21464
0.0105144,-44639.63,84.66708
0.0114636,-42795.75,84.11952
0.0124128,-41053.78,83.57195
0.0133620,-39204.18,83.02439
0.0143112,-37173.32,82.48062
0.0152604,-35067.43,81.94159
0.0162096,-34103.53,81.40255
0.0171588,-33139.60,80.86352
0.0181080,-32175.02,80.32448
0.0190572,-31210.43,79.78545
0.0200064,-30176.25,79.24641
0.0209557,-28928.36,78.70738
0.0219049,-28028.58,78.16834
0.0228541,-27391.99,77.62931
0.0238033,-26755.41,77.09027
0.0247525,-26119.47,76.55797
0.0257017,-25492.84,76.02651
0.0266509,-24866.21,75.49506
0.0276001,-24239.58,74.96360
0.0285493,-23468.01,74.43215
0.0294985,-22657.76,73.90069
0.0304477,-21923.27,73.36924
0.0313969,-21267.61,72.83778
0.0323461,-20611.95,72.30632
0.0332953,-20132.88,71.77487
0.0342445,-19731.15,71.24215
0.0351937,-19330.17,70.70691
0.0361429,-18929.20,70.17166
0.0370921,-18500.83,69.63642
0.0380413,-18067.77,69.10117
0.0389905,-17745.90,68.56593
0.0399397,-17424.03,68.03068
0.0408889,-17090.80,67.49544
0.0418381,-16747.05,66.96019
0.0427873,-16403.31,66.42495
0.0437365,-16059.56,65.88970
0.0446857,-15713.19,65.36328
0.0456349,-15366.05,64.83940
0.0465841,-15082.33,64.31553
0.0475333,-14822.28,63.79165
0.0484825,-14562.23,63.26777
0.0494317,-14302.18,62.74390
0.0503809,-14042.13,62.22002
0.0513301,-13782.08,61.69614
0.0522793,-13633.45,61.17226
0.0532286,-13625.19,60.64839
0.0541778,-13617.61,60.12221
0.0551270,-13612.45,59.58791
0.0560762,-13607.29,59.05362
0.0570254,-13602.13,58.51932
0.0579746,-13596.98,57.98502
0.0589238,-13591.82,57.45072
