*X,dH_J_mol,dS_J_mol_K
0.0000187,-360899.01,42.55000
0.0020188,-342182.77,42.14960
0.0040190,-337498.27,41.74921
0.0060191,-334791.14,41.34881
0.0080193,-333128.91,40.94842
0.0100194,-331880.76,40.54802
0.0120196,-331117.58,40.16899
0.0140197,-330608.92,39.80706
0.0160198,-330238.48,39.44513
0.0180200,-330083.16,39.08320
0.0200201,-329991.89,38.72127
0.0220203,-329897.47,38.36991
0.0240204,-329870.26,38.04258
0.0260206,-329873.34,37.71525
0.0280207,-329876.41,37.38792
0.0300208,-329883.86,37.06059
0.0320210,-329892.48,36.73509
0.0340211,-329890.96,36.44360
0.0360213,-329889.44,36.15210
0.0380214,-329924.58,35.86060
0.0400216,-329973.77,35.56911
0.0420217,-330022.95,35.27761
0.0440218,-330060.07,35.02656
0.0460220,-330089.04,34.80288
0.0480221,-330118.01,34.57919
0.0500223,-330146.97,34.35551
0.0520224,-330190.34,34.13182
0.0540226,-330219.30,33.97365
0.0560227,-330248.11,33.81601
0.0580228,-330276.91,33.65837
0.0600230,-330305.71,33.50073
0.0620231,-330334.51,33.34309
0.0640233,-330362.35,33.18869
0.0660234,-330380.29,33.06617
0.0680236,-330398.11,32.94364
0.0700237,-330415.93,32.82112
0.0720238,-330433.75,32.69859
0.0740240,-330451.57,32.57607
0.0760241,-330469.37,32.45362
0.0780243,-330488.04,32.33256
0.0800244,-330520.50,32.21150
0.0820246,-330552.95,32.09043
0.0840247,-330585.41,31.96937
0.0860248,-330617.87,31.84831
0.0880250,-330650.20,31.72766
0.0900251,-330682.31,31.60777
0.0920253,-330714.42,31.48787
0.0940254,-330746.53,31.36798
0.0960256,-330778.64,31.24809
0.0980257,-330810.70,31.12838
0.1000258,-330842.24,31.01039
0.1020260,-330873.78,30.89240
0.1040261,-330905.32,30.77440
0.1060263,-330936.87,30.65641
0.1080264,-330968.41,30.53842
0.1100266,-330999.02,30.42355
0.1120267,-331029.46,30.30926
0.1140268,-331059.90,30.19496
0.1160270,-331090.34,30.08067
0.1180271,-331120.78,29.96638
0.1200273,-331150.86,29.85328
0.1220274,-331180.70,29.74100
0.1240276,-331210.54,29.62871
0.1260277,-331240.38,29.51643
0.1280278,-331270.22,29.40415
0.1300280,-331298.64,29.29663
0.1320281,-331324.30,29.19837
0.1340283,-331349.96,29.10012
0.1360284,-331375.62,29.00186
0.1380286,-331401.28,28.90360
0.1400287,-331426.93,28.80534
0.1420288,-331452.59,28.70709
0.1440290,-331478.25,28.60883
0.1460291,-331494.36,28.54260
0.1480293,-331509.53,28.47953
0.1500294,-331524.69,28.41646
0.1520296,-331539.86,28.35340
0.1540297,-331555.03,28.29033
0.1560298,-331570.19,28.22726
0.1580300,-331583.78,28.16950
0.1600301,-331592.63,28.12763
0.1620303,-331601.48,28.08575
0.1640304,-331610.32,28.04387
0.1660306,-331619.17,28.00199
0.1680307,-331627.04,27.96341
0.1700308,-331631.73,27.93548
0.1720310,-331636.42,27.90755
0.1740311,-331641.11,27.87962
0.1760313,-331645.80,27.85169
0.1780314,-331650.49,27.82376
0.1800316,-331656.35,27.79583
0.1820317,-331662.74,27.76863
0.1840318,-331669.07,27.74164
0.1860320,-331675.39,27.71464
0.1880321,-331681.72,27.68764
0.1900323,-331688.05,27.66064
0.1920324,-331694.38,27.63365
0.1940326,-331700.71,27.60665
0.1960327,-331707.04,27.57965
0.1980328,-331713.60,27.55188
0.2000330,-331720.77,27.52205
0.2020331,-331727.95,27.49222
0.2040333,-331735.12,27.46238
0.2060334,-331742.30,27.43255
0.2080336,-331749.47,27.40272
0.2100337,-331756.65,27.37288
0.2120338,-331763.82,27.34305
0.2140340,-331770.61,27.31450
0.2160341,-331777.11,27.28695
0.2180343,-331783.60,27.25940
0.2200344,-331790.10,27.23185
0.2220346,-331796.59,27.20430
0.2240347,-331802.97,27.17713
0.2260348,-331808.50,27.15282
0.2280350,-331814.03,27.12851
0.2300351,-331819.56,27.10419
0.2320353,-331825.09,27.07988
0.2340354,-331830.61,27.05557
0.2360356,-331836.14,27.03125
0.2380357,-331841.13,27.00876
0.2400358,-331846.09,26.98636
0.2420360,-331851.04,26.96397
0.2440361,-331856.00,26.94157
0.2460363,-331860.96,26.91917
0.2480364,-331865.92,26.89678
0.2500366,-331870.87,26.87438
0.2520367,-331875.83,26.85199
0.2540368,-331880.79,26.82959
0.2560370,-331885.75,26.80719
0.2580371,-331890.70,26.78480
0.2600373,-331895.31,26.76357
0.2620374,-331899.24,26.74462
0.2640376,-331903.17,26.72567
0.2660377,-331907.10,26.70672
0.2680378,-331911.03,26.68777
0.2700380,-331914.96,26.66882
0.2720381,-331918.38,26.65158
0.2740383,-331921.36,26.63583
0.2760384,-331924.33,26.62008
0.2780386,-331927.31,26.60433
0.2800387,-331930.28,26.58858
0.2820388,-331933.26,26.57283
0.2840390,-331936.23,26.55708
0.2860391,-331939.21,26.54134
0.2880393,-331942.19,26.52559
0.2900394,-331945.16,26.50984
0.2920396,-331948.25,26.49370
0.2940397,-331951.53,26.47692
0.2960398,-331954.82,26.46015
0.2980400,-331958.10,26.44337
0.3000401,-331961.38,26.42659
0.3020403,-331964.66,26.40981
0.3040404,-331967.94,26.39304
0.3060406,-331971.23,26.37626
0.3080407,-331974.54,26.35936
0.3100408,-331978.99,26.33869
0.3120410,-331983.43,26.31801
0.3140411,-331987.88,26.29734
0.3160413,-331992.32,26.27667
0.3180414,-331996.76,26.25599
0.3200416,-332001.30,26.23501
0.3220417,-332006.15,26.21297
0.3240418,-332011.00,26.19093
0.3260420,-332015.85,26.16889
0.3280421,-332020.70,26.14685
0.3300423,-332025.55,26.12481
0.3320424,-332030.41,26.10276
0.3340426,-332035.27,26.08070
0.3360427,-332040.12,26.05865
0.3380428,-332044.98,26.03659
0.3400430,-332049.83,26.01454
0.3420431,-332054.69,25.99248
0.3440433,-332059.54,25.97043
0.3460434,-332063.77,25.95047
0.3480436,-332067.44,25.93239
0.3500437,-332071.11,25.91431
0.3520438,-332074.78,25.89623
0.3540440,-332078.45,25.87815
0.3560441,-332082.12,25.86007
0.3580443,-332084.92,25.84492
0.3600444,-332086.62,25.83344
0.3620446,-332088.32,25.82197
0.3640447,-332090.03,25.81050
0.3660448,-332091.73,25.79902
0.3680450,-332093.43,25.78755
0.3700451,-332095.13,25.77607
0.3720453,-332096.83,25.76460
0.3740454,-332098.53,25.75312
0.3760456,-332100.23,25.74165
0.3780457,-332101.93,25.73017
0.3800458,-332103.35,25.71967
0.3820460,-332102.50,25.71673
0.3840461,-332101.66,25.71379
0.3860463,-332100.81,25.71086
0.3880464,-332099.97,25.70792
0.3900466,-332099.12,25.70498
0.3920467,-332098.28,25.70204
0.3940468,-332097.17,25.70000
0.3960470,-332095.45,25.70000
0.3980471,-332093.73,25.70000
0.4000473,-332092.01,25.70000
0.4020474,-332090.29,25.70000
0.4040476,-332088.93,25.70000
0.4060477,-332087.62,25.70000
0.4080478,-332085.92,25.70134
0.4100480,-332084.15,25.70292
0.4120481,-332082.37,25.70450
0.4140483,-332080.60,25.70608
0.4160484,-332078.83,25.70766
0.4180486,-332077.05,25.70924
0.4200487,-332075.52,25.71000
0.4220488,-332074.22,25.71000
0.4240490,-332072.92,25.71000
0.4260491,-332071.61,25.71000
0.4280493,-332070.31,25.71000
0.4300494,-332069.01,25.71000
0.4320496,-332067.70,25.71000
0.4340497,-332066.40,25.71000
0.4360498,-332065.10,25.71000
0.4380500,-332063.80,25.71000
0.4400501,-332062.49,25.71000
0.4420503,-332061.19,25.71000
0.4440504,-332059.89,25.71000
0.4460506,-332058.58,25.71000
0.4480507,-332057.28,25.71000
0.4500508,-332055.98,25.71000
0.4520510,-332054.67,25.71000
0.4540511,-332053.37,25.71000
0.4560513,-332052.07,25.71000
0.4580514,-332050.77,25.71000
0.4600516,-332049.46,25.71000
0.4620517,-332048.16,25.71000
0.4640518,-332046.86,25.71000
0.4660520,-332045.55,25.71000
0.4680521,-332044.25,25.71000
0.4700523,-332042.95,25.71000
0.4720524,-332041.65,25.71000
0.4740526,-332040.34,25.71000
0.4760527,-332039.04,25.71000
0.4780528,-332037.74,25.71000
0.4800530,-332036.45,25.70993
0.4820531,-332035.63,25.70831
0.4840533,-332034.81,25.70669
0.4860534,-332033.99,25.70507
0.4880536,-332033.17,25.70345
0.4900537,-332032.35,25.70183
0.4920538,-332031.53,25.70021
0.4940540,-332030.29,25.70000
0.4960541,-332028.99,25.70000
0.4980543,-332027.69,25.70000
0.5000544,-332026.39,25.70000
0.5020546,-332025.08,25.70000
0.5040547,-332023.78,25.70000
0.5060549,-332022.48,25.70000
0.5080550,-332021.17,25.70000
0.5100551,-332019.87,25.70000
0.5120553,-332018.57,25.70000
0.5140554,-332017.26,25.70000
0.5160556,-332015.96,25.70000
0.5180557,-332014.66,25.70000
0.5200559,-332013.49,25.69954
0.5220560,-332012.79,25.69754
0.5240561,-332012.08,25.69553
