#X,V0_V,dV0dT_V_K
1.87e-05,3.78195479543114,0.000139192141488376
0.0020188,3.58673735827112,0.000135042287917866
0.004019,3.53694868912371,0.000130892537990053
0.0060191,3.50765398496614,0.000126742684419543
0.0080193,3.48918893707385,0.00012259293449173
0.0100194,3.47501549505989,0.000118443080921221
0.0120196,3.46593444848786,0.000114514711793273
0.0140197,3.45954415665849,0.000110763571676453
0.0160198,3.45458641418107,0.000107012431559633
0.01802,3.45185823339217,0.000103261291442814
0.0200201,3.44979388407478,9.95101513259941e-05
0.0220203,3.44772954973894,9.58685615394449e-05
0.0240204,3.44643605323789,9.24760251527442e-05
0.0260206,3.44545649046474,8.90834887660435e-05
0.0280207,3.44447682404889,8.56909523793429e-05
0.0300208,3.44354255313414,8.22984159926421e-05
0.032021,3.44262606331069,7.89248462194131e-05
0.0340211,3.44170957433193,7.59037652572056e-05
0.0360213,3.4407930544521,7.28825806523015e-05
0.0380214,3.44025648869788,6.98613960473974e-05
0.0400216,3.43986557183341,6.684031508519e-05
0.0420217,3.43947452042517,6.38191304802859e-05
0.0440218,3.43908347075294,6.1217180582992e-05
0.046022,3.43869252851155,5.88989007461998e-05
0.0480221,3.4383015553691,5.65805172667109e-05
0.0500223,3.43791050948501,5.42622374299187e-05
0.0520224,3.43766878182561,5.19438539504298e-05
0.0540226,3.43748016885097,5.03045374188426e-05
0.0560227,3.4372916389926,4.86707139501734e-05
0.0580228,3.43710300549152,4.70368904815042e-05
0.060023,3.43691437199045,4.54030670128349e-05
0.0620231,3.43672573848938,4.37692435441657e-05
0.0640233,3.43653716723611,4.2169000309184e-05
0.0660234,3.43634450232434,4.08991699908552e-05
0.0680236,3.43615056279914,3.96292360298298e-05
0.0700237,3.43595665417501,3.8359405711501e-05
0.0720238,3.43576271464981,3.70894717504757e-05
0.074024,3.43556880602568,3.58196414321468e-05
0.0760241,3.43537490642365,3.4550536612694e-05
0.0780243,3.43519431898495,3.32958381280639e-05
0.0800244,3.43515665482481,3.20411396434337e-05
0.0820246,3.4351188561209,3.0786337516107e-05
0.0840247,3.43508119196077,2.95316390314769e-05
0.0860248,3.43504352780063,2.82769405468467e-05
0.088025,3.4350057832293,2.70264914127758e-05
0.0900251,3.43496810699997,2.57839191236439e-05
0.0920253,3.43493039986957,2.45412431918154e-05
0.0940254,3.43489272364024,2.32986709026835e-05
0.0960256,3.43485504741091,2.20560986135516e-05
0.0980257,3.43481740918736,2.08153918929579e-05
0.1000258,3.43477969652762,1.95925117161736e-05
0.102026,3.43474198386788,1.83696315393892e-05
0.1040261,3.43470424030707,1.71466477199084e-05
0.1060263,3.43466663129003,1.5923767543124e-05
0.1080264,3.43462891863029,1.47008873663397e-05
0.1100266,3.43459120833361,1.3510343710884e-05
0.1120267,3.43455352837314,1.23258113318292e-05
0.1140268,3.4345158175116,1.11411753100778e-05
0.116027,3.43447813755113,9.95664293102296e-06
0.1180271,3.43444045759066,8.77211055196811e-06
0.1200273,3.43440272372045,7.59991165380465e-06
0.1220274,3.43436503631325,6.4362114567596e-06
0.1240276,3.43432731800499,5.27240761701801e-06
0.1260277,3.43428963059779,4.10870741997295e-06
0.1280278,3.4342519431906,2.94500722292793e-06
0.130028,3.4342142474298,1.83064094944838e-06
0.1320281,3.43417656067555,8.12247812989127e-07
0.1340283,3.43413890482238,-2.06041680773566e-07
0.1360284,3.43410121806813,-1.22443481723282e-06
0.1380286,3.43406353131388,-2.24282795369208e-06
0.1400287,3.43402574091694,-3.26122109015133e-06
0.1420288,3.43398808506376,-4.27951058391403e-06
0.144029,3.43395039830952,-5.29790372037328e-06
0.1460291,3.4339127089072,-5.98432929973109e-06
0.1480293,3.43387504182952,-6.63800378697396e-06
0.1500294,3.43383727110914,-7.29167827421684e-06
0.1520296,3.43379963493253,-7.94524911876316e-06
0.1540297,3.43376196785485,-8.59892360600603e-06
0.1560298,3.43372419713447,-9.25259809324891e-06
0.15803,3.4336865629789,-9.85123830861517e-06
0.1600301,3.43364890398534,-1.02851902791377e-05
0.1620303,3.43361121409072,-1.07192458923569e-05
0.1640304,3.43357342055341,-1.11533015055761e-05
0.1660306,3.43353573065879,-1.15873571187952e-05
0.1680307,3.433498081133,-1.19872106421475e-05
0.1700308,3.43346038286923,-1.22766846936569e-05
0.172031,3.43342268460546,-1.25661587451662e-05
0.1740311,3.43338498634169,-1.28556327966755e-05
0.1760313,3.43334728807793,-1.31451068481848e-05
0.1780314,3.43330958981416,-1.34345808996942e-05
0.1800316,3.43328401774589,-1.37240549512035e-05
0.1820317,3.43326619451864,-1.40059630858635e-05
0.1840318,3.43324839835769,-1.42856947238956e-05
0.186032,3.43323046765297,-1.45655300046243e-05
0.1880321,3.43321264059095,-1.4845365285353e-05
0.1900323,3.43319481352893,-1.51252005660817e-05
0.1920324,3.43317701736797,-1.54049322041138e-05
0.1940326,3.43315919030595,-1.56847674848425e-05
0.1960327,3.43314136324393,-1.59646027655711e-05
0.1980328,3.43312354058154,-1.62524185339354e-05
0.200033,3.43310567450322,-1.65615846977923e-05
0.2020331,3.4330879120676,-1.68707508616492e-05
0.2040333,3.43307001508822,-1.71800206682027e-05
0.2060334,3.4330522526526,-1.74891868320596e-05
0.2080336,3.43303438657428,-1.77983529959165e-05
0.2100337,3.43301659323759,-1.810762280247e-05
0.2120338,3.43299872715928,-1.84167889663269e-05
0.214034,3.43298087799545,-1.87126888650233e-05
0.2160341,3.43296311330042,-1.89982244940631e-05
0.2180343,3.43294524496269,-1.9283760123103e-05
0.2200344,3.43292748026766,-1.95692957521428e-05
0.2220346,3.43290961192993,-1.98548313811826e-05
0.2240347,3.4328917777632,-2.01364285877529e-05
